======================================================================
SAS AUDIT LOG - 2026-07-27
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
15:04:00 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:11:50 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 84.5% · Pi host: JEFACEDESKTOP · Event Id: b1da72cb-28fc-46b9-b4b4-c0fce91260a3
15:31:25 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:31:35 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:31:42 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:31:51 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:31:59 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:08 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:16 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:25 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:33 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:42 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:47 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:32:50 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:32:59 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:07 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:16 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:22 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:33:22 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:33:25 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:33 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:42 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:50 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:33:59 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:07 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:16 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:24 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:33 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:41 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:50 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:34:56 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:34:58 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:07 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:15 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:24 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:32 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:41 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:49 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:35:58 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:06 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:15 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:23 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:32 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:40 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:49 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:36:57 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:06 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:12 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:37:14 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:23 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:31 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:40 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:48 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:37:57 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:05 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:14 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:22 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:31 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:40 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:48 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:38:57 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:05 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:14 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:22 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:31 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:39 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:48 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:39:57 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:05 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:14 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:22 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:31 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:39 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:48 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:40:56 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:05 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:14 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:22 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:30 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:39 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:43 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:41:43 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:41:47 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:41:56 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:42:04 | UNAUTHENTICATED      | PI CONNECTION BLOCKED        | Requested host: JEFACEDESKTOP · Result: Already connected
15:43:37 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:43:37 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
15:46:15 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
20:47:05 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
20:47:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:47:25 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:48:14 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:48:16 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
20:49:40 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
20:50:40 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
20:50:40 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:50:51 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:50:59 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:51:09 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:51:44 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:51:49 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
20:51:57 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
22:15:52 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
22:15:52 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
22:16:17 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
