======================================================================
SAS AUDIT LOG - 2026-07-27
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
12:07:16 | ADMIN                | FACE USER DELETED            | Face ID: 4372447 · Dataset removed: Yes · Embeddings removed: 4
12:07:25 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:07:26 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:07:29 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:07:32 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:07:43 | ADMIN                | FACE USER DELETED            | Face ID: 4401760 · Dataset removed: Yes · Embeddings removed: 1
12:09:21 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:09:22 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:10:39 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
12:10:39 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:10:42 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:10:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:10:48 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:10:55 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:11:04 | ADMIN                | RECEIVED FACE DATA IMPORTED  | Source: Check Received pending folder · ZIP file: backup_before_import_20260727_112800.zip · Imported users: 4401760
12:11:10 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:11:13 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:11:21 | ADMIN                | RECEIVED FACE DATA IMPORTED  | Source: Check Received pending folder · ZIP file: backup_before_import_20260727_121103.zip · Imported users: No new users
12:11:27 | ADMIN                | RECEIVED FACE DATA IMPORTED  | Source: Check Received pending folder · ZIP file: backup_before_import_20260727_112130.zip · Imported users: No new users
12:11:33 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:11:35 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:11:39 | ADMIN                | RECEIVED FACE DATA REJECTED  | Source: Check Received pending folder · ZIP file: backup_before_import_20260727_112201.zip
12:11:40 | ADMIN                | RECEIVED FACE DATA REJECTED  | Source: Check Received pending folder · ZIP file: backup_before_import_20260727_121127.zip
12:11:42 | ADMIN                | RECEIVED FACE DATA IMPORTED  | Source: Check Received pending folder · ZIP file: backup_before_import_20260727_121121.zip · Imported users: No new users
12:12:15 | ADMIN                | FACE DATA IMPORTED FROM SERVER | Server path: //mypenm0vdspc16/internship/Gary LIm/SAS_finaltest · ZIP file: face_data_20260727_111914.zip · Imported users: 4372447
12:12:23 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:12:24 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:12:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:12:44 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:13:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:13:09 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACEDESKTOP · Inactivity lock: 05:00 → 00:05 · Disabled while locked: Keyboard · Auto capture: Disabled · Camera rotation: 180°
